id,user_id,tweeted_at,content
8488146e-b8e6-458d-8c56-04337efa9d17,5b61a12b-4883-4498-9b9c-abaddbf2c804,2026-02-27 08:26:00,Jaffles from the Jaffle Shop are my favorite! Ordered a for richer or pourover  and a mel-bun.
57aca0f8-52be-4f39-95b5-6cad47e45beb,66a27c0b-d866-49fd-b09b-13b31366e7d3,2026-02-27 09:09:00,Jaffles from the Jaffle Shop are sooo gooood! Ordered a for richer or pourover  and a flame impala.
a80fb213-04a9-4c65-bd75-57f27b454d96,a4ff0afb-9f0c-48dc-ac57-cc1a9932d48e,2026-02-27 10:12:00,Jaffle Shop again. Ordered a adele-ade and a nutellaphone who dis?. This place is the worst.
bc7dbbc2-e4ea-4c9b-a6c8-e3bf8393ccab,e8529461-e784-4c38-9741-331bc6e24f8a,2026-02-27 08:34:00,Jaffle Shop again. Ordered a for richer or pourover . This place is gross.
63d8a6da-9207-479f-b7e2-5762a6ea9170,57b8bc5e-6a44-4701-9609-60f1e44705e5,2026-02-27 11:03:00,Jaffles from the Jaffle Shop are my favorite! Ordered a chai and mighty and a mel-bun.
9df70f48-1d7c-4dc6-9ef7-2b9352fd7473,38c8515c-b2ad-445a-a5a1-7ca5f0e1c293,2026-02-27 08:11:00,Jaffles from the Jaffle Shop are fantastic! Ordered a vanilla ice and a mel-bun.
416b50b4-57a7-4e5a-ac21-ed8bf9ee4731,2a73e94e-140d-434a-afeb-925143924a12,2026-02-27 14:29:00,Jaffle Shop again. Ordered a tangaroo. This place is my least favorite.
85a9c2fe-d443-4ee8-96dd-1d371dee1863,f279e51a-c4a4-4fb6-a2e6-3f6d1d7cb340,2026-02-27 09:45:00,Jaffles from the Jaffle Shop are awesome! Ordered a vanilla ice and a the krautback.
d904625b-2646-4973-901b-9fabde0ae200,a30b4815-f263-4d31-b845-fa36ea337440,2026-02-27 09:52:00,Jaffles from the Jaffle Shop are delicious! Ordered a chai and mighty and a mel-bun.
8e3b19a8-de0a-42b4-8c46-8722eca57cf7,9020aa00-1107-4bb8-b702-b17176b1f810,2026-02-27 08:06:00,Jaffles from the Jaffle Shop are delicious! Ordered a for richer or pourover  and a doctor stew.
bd951ffc-4441-4ff5-b1fb-f53cd78c52d0,923b44df-fb0d-4eb5-a4a8-1f6bbda207cc,2026-02-27 12:07:00,Jaffle Shop again. Ordered a for richer or pourover  and a doctor stew. This place is disgusting.
564f3de2-a5fa-4020-a0ae-db34b10c10e6,367061f0-2aca-42e5-8cf0-315057a4beb6,2026-02-27 07:25:00,Jaffle shop is fine. Ordered a vanilla ice.
