id,customer,ordered_at,store_id,subtotal,tax_paid,order_total
54704bd1-32a3-472e-93f2-c4724d098e73,94858156-8db0-4808-b232-f19a2a1098c6,2023-09-01 08:01:00,13a495c8-e14a-4e5c-bd67-024e21729fcd,700,42,742
3b5ee745-a5d0-4e99-83d2-6927e3bf5432,16e4f99a-ea67-4d5a-80a2-ed21f68a7d8c,2023-09-01 10:56:00,13a495c8-e14a-4e5c-bd67-024e21729fcd,500,30,530
d349a137-0642-4b96-b298-ede13360f328,0780790d-c6bf-4799-8fcb-867e878ab377,2023-09-01 07:42:00,13a495c8-e14a-4e5c-bd67-024e21729fcd,400,24,424
1f19c2de-2507-4f0c-9639-88a90326e56c,d0c0a642-03b6-4fae-a26b-5ba107596dbc,2023-09-01 09:04:00,13a495c8-e14a-4e5c-bd67-024e21729fcd,1700,102,1802
918ea35d-e964-47da-b28b-ec439f2ad72d,4186328a-856d-4c78-bda8-c53d1ed54f47,2023-09-01 08:42:00,13a495c8-e14a-4e5c-bd67-024e21729fcd,700,42,742
b5806f29-7c43-4bca-aaa1-b965a4b5fe03,81abb013-c13c-4434-acc7-4421577d650e,2023-09-01 08:59:00,13a495c8-e14a-4e5c-bd67-024e21729fcd,600,36,636
ac86a245-8602-4d0b-b7ad-dcc7ff0b584f,7572868d-ce85-4e92-aa59-f13c8b51b687,2023-09-01 09:29:00,13a495c8-e14a-4e5c-bd67-024e21729fcd,1700,102,1802
3bb600b1-0c3b-41da-9a32-04d51f2075b8,d51223e0-d243-452a-9960-a96759af2089,2023-09-01 08:20:00,13a495c8-e14a-4e5c-bd67-024e21729fcd,600,36,636
db76d58f-8c1e-429b-9561-8cc4afaff66e,6099c0d2-0197-4b11-a16f-28472bdea518,2023-09-01 07:05:00,13a495c8-e14a-4e5c-bd67-024e21729fcd,1200,72,1272
702beb1c-dabe-4227-9ff4-9b237946718c,0bdc5c8a-4658-47d0-825e-379ecbb9cfe0,2023-09-01 12:30:00,13a495c8-e14a-4e5c-bd67-024e21729fcd,600,36,636
1ce6b972-9884-4758-b984-33a9f3167c70,eba48d54-75df-4fe6-92cd-52668ee52a92,2023-09-01 08:02:00,13a495c8-e14a-4e5c-bd67-024e21729fcd,600,36,636
fd641155-5902-4b16-adc4-50bc41500c79,843a90df-79a9-4780-bf27-94e360c3aae7,2023-09-01 10:32:00,13a495c8-e14a-4e5c-bd67-024e21729fcd,2300,138,2438
5a58c357-abe2-43bf-92f8-94d2f28f9540,be1199b4-fb77-401a-9e23-5f3d9c3fcec1,2023-09-01 08:02:00,13a495c8-e14a-4e5c-bd67-024e21729fcd,2300,138,2438
7f81e1b3-591c-4df5-ba00-ac08ba822b6e,32d062aa-5f96-48fd-a166-039549dffc22,2023-09-01 09:06:00,13a495c8-e14a-4e5c-bd67-024e21729fcd,400,24,424
